index,sentence,label,pred_label
314,Molecular analysis of cellulose biosynthesis in Arabidopsis.,0,0
315,"Cumulative incidence ( +/-SE ) of a second @DIS$ at 50 years after diagnosis was 51.0 % ( +/-6.2 % ) for hereditary @DIS$, and 5.0 % ( +/-3.0 % ) for nonhereditary @DIS$.",1,1
316,"Twelve patients with @DIS$ were treated with @TREAT$, and were followed for 1 year.",3,3
317,Internists ' and surgeons ' attitudes toward guns and firearm injury prevention.,0,0
318,"Urine was also obtained from subjects who had received the maximum dosage of inhaled @TREAT$ advisable for competing athletes to provide protection from exercise-induced asthma and treatment of @DIS$ ( 1600 microg in 24 h, 800 microg being in the last 4 h ).",3,3
319,Here we demonstrate that combined Msh2 and p53 ablation ( Msh2-/-p53-/- ) results in developmental arrest of all female embryos at 9.5 days.,0,0
320,The growing use of @TREAT$ in @DIS$ over the last few years shows that this method represents a valid alternative to @TREAT$.,3,3
321,CONTEXT : Approximately 9 % of @DIS$ cases have been estimated to result from inheritance of mutated prostate cancer susceptibility genes.,1,1
322,The role of the liver in serum-induced @DIS$.,1,1
323,Electron microscopic studies of Mycoplasma ( PPLO strain 880 ) in artificial medium and in tissue culture.,0,0
324,"We present the case of a 15-month-old girl with @DIS$, but without @DIS$ or @DIS$.",1,1
325,The current report considers the additional benefit of @TREAT$ compared with monotherapy ( interferon alfa alone ) for the treatment of patients with @DIS$.,3,3
326,@DIS$ ( @DIS$,1,1
327,The objective of this study was to determine the rate of recent cocaine use among a metropolitan population of predominantly Hispanic and African-American women with preterm @DIS$ and to ascertain the impact of cocaine on the latency period between rupture of membranes and delivery.,1,1
328,( 5 ) Future plans were either singular in focus or limited to maintenance of current health habits.,0,0
329,Emergency department use as a component of total ambulatory care : a population perspective.,0,0
330,Potential biases were not taken into account in study of waiting times.,0,0
331,Anaesthesia for @TREAT$ in a patient with @DIS$.,3,3
332,RESULTS : @TREAT$ created a functional neourethra even in @DIS$.,3,3
333,"Role of free radicals, telomeres, and telomerases in aging and cancerogenesis",0,0
334,@TREAT$ : is this the treatment of choice for patients with @DIS$?,3,3
335,@DIS$ associated with @DIS$ in a 4-year-old boy with @DIS$.,1,1
336,Frequent users of emergency services,0,0
337,@TREAT$ has 'come out of age ' and increasingly represents standard of care for a rapidly growing number of patients in locally advanced stages of @DIS$.,3,3
338,Are the products of CD44 exons v5 and v6 markers for metastasis of @DIS$?,1,1
339,Long-term safety and effectiveness of @TREAT$ for @DIS$.,3,3
340,@DIS$ : successful treatment by @TREAT$.,3,3
341,Variation within the MBP locus on chromosome 18q23 showed no effect in MS.,0,0
342,This article reviews and conceptualises the whole overtraining process.,0,0
343,"@TREAT$ appears to have antineoplastic efficacy, ( and may have antiretroviral efficacy as well ) in this epidemic @DIS$.",3,3
344,Administration of @TREAT$ induces @DIS$ of glomerular origin in mice.,4,3
345,Use of surface plasmon resonance to probe the equilibrium and dynamic aspects of interactions between biological macromolecules.,0,0
346,CONCLUSIONS : This study indicates that the use of a computerized physician reminder and a mailed patient reminder had a positive impact on @DIS$ @TREAT$ for older adults in a large family practice office.,2,3
347,Oncogenic raf-1 induces the expression of non-histone chromosomal architectural protein HMGI-C via a p44/p42 mitogen-activated protein kinase-dependent pathway in salivary epithelial cells.,0,0
348,Malignancy.,0,0
349,"These effects can cause deviations from predicted kinetic behavior in studies of peroxynitrite in noncarbonate buffers in vitro, and since 1 and other intermediates derived from it are oxidants and/or nitrating agents, some of the reactions attributed to peroxynitrite may depend on the availability of CO2.",0,0
350,The family physician and @DIS$ -- challenge and opportunity.,1,1
351,Targeted development of microsatellite markers from the defined region of bovine chromosome 6q21-31.,0,0
352,MÃ1/4llerian agenesis : an update.,0,0
353,"According to the RMR model, all potentially lethal lesions should also be committed by that time and be unavailable for repair in the new medium.",0,0
354,The functional neuroanatomy of episodic memory retrieval.,0,0
355,Patients with evidence of @DIS$ were treated with a @TREAT$.,3,3
356,Chromosomal abnormalities of a new @DIS$ cell line ( NPC-BM1 ) derived from a @DIS$.,1,1
357,United Kingdom collaborators in the International Stroke Trial.,0,0
